Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-09-08,Che: Part One,2008,https://boxd.it/7hDHZ9,4.5,,,2024-09-08
2024-09-09,My Name Is Khan,2010,https://boxd.it/7hINWZ,4.5,,,2024-09-08
2024-09-12,Roja,1992,https://boxd.it/7j5L5z,5,,,2024-09-11
2024-09-15,Pithamagan,2003,https://boxd.it/7kkXav,4,,,2024-09-14
2024-09-15,BLUE LOCK THE MOVIE -EPISODE NAGI-,2024,https://boxd.it/7kpasF,4.5,,,2024-09-15
2024-09-15,Satya,1998,https://boxd.it/7kN2il,4.5,,,2024-09-15
2024-09-16,Kinds of Kindness,2024,https://boxd.it/7liGf9,4,,,2024-09-16
2024-09-21,Tumbbad,2018,https://boxd.it/7mY3qZ,5,,,2024-09-20
2024-09-22,Sector 36,2024,https://boxd.it/7nSoab,4,,,2024-09-22
2024-09-23,Maheshinte Prathikaaram,2016,https://boxd.it/7nX7EN,4.5,,,2024-09-22
2024-09-25,One Cut of the Dead,2017,https://boxd.it/7oQknl,5,,,2024-09-24
2024-09-27,Saripodhaa Sanivaaram,2024,https://boxd.it/7pSiCr,4,,,2024-09-27
2024-09-27,Devara: Part 1,2024,https://boxd.it/7pVovH,4,,,2024-09-27
2024-09-28,Munjya,2024,https://boxd.it/7pXSNF,4,,,2024-09-27
2024-09-29,Demonte Colony,2015,https://boxd.it/7qs8Mj,4.5,,,2024-09-28
2024-09-29,Demonte Colony 2,2024,https://boxd.it/7qSEPB,4,,,2024-09-29
2024-09-30,The Grand Budapest Hotel,2014,https://boxd.it/7qV0mP,4.5,,,2024-09-29
2024-10-03,Stree,2018,https://boxd.it/7sjwXl,4,,,2024-10-02
2024-10-03,Stree 2,2024,https://boxd.it/7skH7x,4,,,2024-10-02
2024-10-04,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/7t0D2H,4.5,,,2024-10-04
2024-10-05,Pather Panchali,1955,https://boxd.it/7tcxSB,4.5,,,2024-10-04
2024-10-06,Paths of Glory,1957,https://boxd.it/7uazLR,4.5,,,2024-10-06
2024-10-06,Arrival,2016,https://boxd.it/7uaCT5,5,,,2024-10-06
2024-10-06,Prisoners,2013,https://boxd.it/7uaD1X,4.5,,,2024-10-06
2024-10-06,Sicario,2015,https://boxd.it/7uaDaP,4,,,2024-10-06
2024-10-06,Interstellar,2014,https://boxd.it/7uaDYb,5,,,2024-10-06
2024-10-06,Inception,2010,https://boxd.it/7uaE9N,5,,,2024-10-06
2024-10-06,The Dark Knight,2008,https://boxd.it/7uaEhR,5,Yes,,2024-10-06
2024-10-06,Tenet,2020,https://boxd.it/7uaEs1,4,,,2024-10-06
2024-10-06,The Dark Knight Rises,2012,https://boxd.it/7uaEyN,4.5,,,2024-10-06
2024-10-06,The Prestige,2006,https://boxd.it/7uaEFJ,5,,,2024-10-06
2024-10-06,Batman Begins,2005,https://boxd.it/7uaENN,5,,,2024-10-06
2024-10-11,Gangs of Wasseypur – Part 1,2012,https://boxd.it/7wsKot,4.5,,,2024-10-11
2024-10-12,Apur Sansar,1959,https://boxd.it/7wXtPf,4.5,,,2024-10-12
2024-10-12,It's What's Inside,2024,https://boxd.it/7wXuop,3.5,,,2024-10-12
2024-10-12,Devi,1960,https://boxd.it/7x1xrJ,5,,,2024-10-12
2024-10-14,Wake Up Sid,2009,https://boxd.it/7ydglH,4,,,2024-10-14
2024-10-18,The Substance,2024,https://boxd.it/7zHYQD,4,,,2024-10-17
2024-10-21,Vaazhai,2024,https://boxd.it/7Bel41,4,,,2024-10-20
